filename,Site_Type,Site_Name,Site_Code,species_richness,Year,ACI_11k,ACI_24k,ADI,AEI,BI_11k,BI_24k,H,NDSI,NP_11k,NP_24k
AM_SD11_20200216_065500-5,Unrestored,Amjhar,AM_2,6,2020,116.616651,303.5610705,2.30258,0.001787,2.707357607,1.655787396,0.968388118,0.61081798,23,57
AM_SD11_20200216_065500-6,Unrestored,Amjhar,AM_2,5,2020,116.4453045,303.6142829,2.302563,0.003646,2.056586437,1.784687765,0.963585143,0.577876277,21,55
AM_SD11_20200217_053500-1,Unrestored,Amjhar,AM_2,2,2020,114.1755759,301.0011303,2.302571,0.002879,1.109948916,0.991524589,0.962795432,0.115127749,23,61
AM_SD11_20200217_053500-2,Unrestored,Amjhar,AM_2,3,2020,113.3733538,300.9650146,2.302578,0.001859,1.404303005,1.180440874,0.958579029,-0.205362241,20,54
AM_SD11_20200217_053500-3,Unrestored,Amjhar,AM_2,4,2020,113.6206409,300.6531458,2.302563,0.003364,1.593035925,1.468682853,0.959677003,-0.065564169,24,61
AM_SD11_20200217_053500-4,Unrestored,Amjhar,AM_2,3,2020,114.1218689,302.5283868,2.302482,0.007547,1.424836302,1.167004464,0.957717046,-0.435210556,23,59
AM_SD11_20200217_053500-5,Unrestored,Amjhar,AM_2,4,2020,113.8978452,301.8161128,2.302576,0.002184,1.0303839,0.862113008,0.965276619,0.192678648,21,53
AM_SD11_20200217_053500-6,Unrestored,Amjhar,AM_2,4,2020,113.6667684,300.3894346,2.302571,0.002747,1.162156635,1.00876221,0.962136661,-0.250788452,24,60
AM_SD11_20200217_060500-1,Unrestored,Amjhar,AM_2,3,2020,115.9882771,305.725755,2.302584,0.000633,2.124419434,1.707334628,0.975362849,0.532960492,19,56
AM_SD11_20200217_060500-2,Unrestored,Amjhar,AM_2,1,2020,113.606488,301.5246433,2.302584,0.000666,0.889389034,0.737265072,0.976131254,0.471222596,26,58
AM_SD11_20200217_060500-3,Unrestored,Amjhar,AM_2,2,2020,114.3576283,301.4333215,2.302577,0.002108,0.924621395,0.764073529,0.975854588,0.47221552,29,64
AM_SD11_20200217_060500-4,Unrestored,Amjhar,AM_2,5,2020,114.9779954,304.0415697,2.302582,0.001394,1.393459603,1.137397658,0.978292074,0.560226113,24,63
AM_SD11_20200217_060500-5,Unrestored,Amjhar,AM_2,2,2020,114.6114204,302.1942888,2.302585,0.000393,1.071229764,0.883845926,0.977806788,0.515983902,28,60
AM_SD11_20200217_060500-6,Unrestored,Amjhar,AM_2,3,2020,113.9896434,301.2621573,2.302579,0.001942,0.905389689,0.648755484,0.977324442,0.498209511,25,61
AM_SD11_20200217_065000-1,Unrestored,Amjhar,AM_2,4,2020,115.2242809,302.6207272,2.29885,0.048718,4.985450118,4.845391582,0.959896732,0.80966349,20,57
AM_SD11_20200217_065000-2,Unrestored,Amjhar,AM_2,5,2020,114.8383635,302.8044831,2.301572,0.024323,3.322448858,3.157316454,0.964957095,0.654250315,25,57
AM_SD11_20200217_065000-3,Unrestored,Amjhar,AM_2,6,2020,113.8696974,301.1586297,2.296757,0.059787,4.049926533,3.939977056,0.963630446,0.484005805,20,56
AM_SD11_20200217_065000-4,Unrestored,Amjhar,AM_2,7,2020,115.2834839,302.4062208,2.298971,0.047149,4.497896954,4.240299499,0.960581796,0.721441465,19,54
AM_SD11_20200217_065000-5,Unrestored,Amjhar,AM_2,6,2020,116.0740515,303.3488604,2.302468,0.008663,2.946682707,2.795201534,0.971767486,0.619268778,27,66
AM_SD11_20200217_065000-6,Unrestored,Amjhar,AM_2,7,2020,115.2314678,303.1059669,2.301857,0.021069,3.283811211,3.088757355,0.966734348,0.333606294,23,61
AM_SD11_20200217_071500-1,Unrestored,Amjhar,AM_2,2,2020,118.6776079,306.9207853,2.302162,0.016108,3.576342061,3.100431005,0.964201205,0.223335296,25,59
AM_SD11_20200217_071500-2,Unrestored,Amjhar,AM_2,2,2020,122.0074581,310.0597995,2.301225,0.028196,4.877498641,4.692971172,0.962015319,0.490402928,24,59
AM_SD11_20200217_071500-3,Unrestored,Amjhar,AM_2,3,2020,117.6333774,305.6396847,2.300006,0.038774,3.794547074,3.66927154,0.963216952,0.511654566,18,49
AM_SD11_20200217_071500-4,Unrestored,Amjhar,AM_2,4,2020,117.0781424,305.256814,2.302495,0.007478,3.848104235,3.69660689,0.968218411,0.497824461,22,54
AM_SD11_20200217_071500-5,Unrestored,Amjhar,AM_2,5,2020,119.326476,306.6713221,2.302495,0.007523,4.088512634,3.731049388,0.965536333,0.337694489,24,59
AM_SD11_20200217_071500-6,Unrestored,Amjhar,AM_2,5,2020,120.6312365,308.2071883,2.301533,0.025335,4.922932428,4.651359911,0.962112711,0.877744124,24,59
AM_SD11_20200217_074000-1,Unrestored,Amjhar,AM_2,4,2020,114.1836821,301.674135,2.302269,0.013545,1.651067243,1.436041808,0.959630445,0.565714925,22,54
